업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
용역,20190209386-00,일반,부강일반산업단지 전기실 신축공사 폐기물 처리용역,세종특별자치시,세종특별자치시,수의(총액)소액수의,2019/02/11 22:42(2019/02/18 10:00),마감,마감
공사,20190209375-00,일반,부강일반산업단지 전기실 신축공사,세종특별자치시,세종특별자치시,지역제한,2019/02/11 22:04(2019/02/19 10:00),마감,마감
공사,20190209313-00,긴급,위천면 농촌중심지활성화사업 전기공사,경상남도 거창군 농업기술센터,경상남도 거창군 농업기술센터,지역제한,2019/02/11 20:52(2019/02/19 10:00),,마감
공사,20190209275-00,일반,제천 그라운드골프 경기장 조성사업 전기공사,충청북도 제천시,충청북도 제천시,제한경쟁,2019/02/11 20:36(2019/02/19 10:00),,마감
용역,20190209241-00,일반,인지중 등 5교 노후전등교체 및 기타 전기,정보통신,소방공사 설계용역,부산광역시교육청 부산광역시해운대교육지원청,부산광역시교육청 부산광역시해운대교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 20:22(2019/02/15 10:00),마감,마감
공사,20190206985-00,일반,광천초 교사 증축 전기공사 제한입찰 공고,광주광역시교육청 광주광역시서부교육지원청,광주광역시교육청 광주광역시서부교육지원청,제한경쟁,2019/02/11 18:12(2019/02/19 10:00),,마감
공사,20190206042-01,취소,양신초등학교 외 3교 계약용량 증설 및 기타 전기공사,충청남도교육청 충청남도예산교육지원청,충청남도교육청 충청남도예산교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/11 18:06(2019/02/14 10:00),,
공사,20190208926-00,일반,철산 외 1역 화장실 시설개량 전기공사,서울교통공사,서울교통공사,지역제한,2019/02/11 17:50(2019/02/19 10:00),,마감
물품,20190208537-00,일반,(가칭)예천유치원 신축 기계설비공사 관급자재(전기히트펌프) 구매,경상북도교육청 경상북도예천교육지원청,경상북도교육청 경상북도예천교육지원청,지명(총액),2019/02/11 17:40(2019/02/15 14:00),,마감
공사,20190208861-00,일반,안암 외 1역 화장실 시설개량 전기공사,서울교통공사,서울교통공사,지역제한,2019/02/11 17:33(2019/02/19 10:00),,마감
용역,20190208724-00,일반,손곡중 화장실 개선 전기공사 설계용역,경기도용인교육청,경기도용인교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 17:01(2019/02/15 10:00),,마감
용역,20190206744-00,일반,가칭)옥계북초등학교 교사신축 전기공사 감리용역 입찰 공고,경상북도교육청 경상북도구미교육지원청,경상북도교육청 경상북도구미교육지원청,제한경쟁,2019/02/11 17:00(2019/02/19 10:00),,마감
공사,20190208778-00,일반,매립장주변영향지역 주민지원사업 양곡보관창고 전기공사,전라남도 구례군,전라남도 구례군,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/11 16:58(2019/02/15 10:00),,마감
물품,20190208766-00,일반,진영 부곡마을 맨홀펌프장 정비 전기공사 관급자재(원격감시제어반) 구입,경상남도 김해시,경상남도 김해시,수의(총액)소액수의,2019/02/11 16:56(2019/02/15 10:00),,마감
공사,20190208638-00,일반,경인교육대학교 경기캠퍼스 학군단 신축에 따른 전기 공사,경인교육대학교,경인교육대학교,제한경쟁,2019/02/11 16:45(2019/02/19 10:30),,마감
용역,20190201750-00,일반,가동유치원 등 3교 전기,소방공사 설계용역,부산광역시교육청 부산광역시해운대교육지원청,부산광역시교육청 부산광역시해운대교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 16:35(2019/02/15 10:00),마감,마감
용역,20190201752-00,일반,해림초등학교 등 6교 냉난방개선 및 기타 전기,정보통신 설계용역,부산광역시교육청 부산광역시해운대교육지원청,부산광역시교육청 부산광역시해운대교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 16:31(2019/02/15 10:00),마감,마감
공사,E061900069-00,일반,2019년도 삼천포발전본부 전기시설물 유지보수공사,한국남동발전(주),총무노무부,제한경쟁,2019/02/11 16:30(2019/02/19 13:00),,한국남동발전(주) 이동
용역,20190201745-00,일반,가동초등학교 등 2교 교사증축 및 기타 전기,소방공사 설계용역,부산광역시교육청 부산광역시해운대교육지원청,부산광역시교육청 부산광역시해운대교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 16:28(2019/02/15 10:00),마감,마감
공사,20190208614-00,긴급,서귀포소방서 동홍119센터 이전 신축 전기공사,제주특별자치도 서귀포소방서,제주특별자치도 서귀포소방서,제한경쟁,2019/02/11 16:28(2019/02/18 17:00),,마감
공사,20190208410-00,일반,해성고등학교 기숙사 및 급식실 증축공사(전기공사),경상남도교육청 해성고등학교,경상남도교육청 해성고등학교,지역제한,2019/02/11 16:22(2019/02/19 10:00),,마감
용역,20190206743-00,일반,전주전일중 테니스장조명개선 및 기타 전기공사 설계용역,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 16:15(2019/02/15 10:00),,마감
용역,20190206756-00,재입찰,전주동중외 3교 화장실 수선 및 기타 전기, 통신공사 설계용역,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 16:12(2019/02/15 15:00),마감,마감
물품,9214263-00,일반,(중앙) KTX-산천 동력차 충전기 파워모듈 구매,한국철도공사,한국철도공사,일반(단가),2019/02/11 15:55(2019/02/21 10:00),,한국철도공사 이동
공사,20190208453-00,일반,행죽지구 수리시설개보수사업 분죽양수장 전기공사,한국농어촌공사 경기지역본부 여주.이천지사,한국농어촌공사 경기지역본부 여주.이천지사,제한경쟁,2019/02/11 15:50(2019/02/20 10:00),,마감
용역,1900313-00,일반,아산에너지사업단 발전기계통 전기설비 시험 용역,한국토지주택공사,한국토지주택공사,일반경쟁,2019/02/11 15:50(2019/02/19 13:00),,한국토지주택공사 이동
물품,20190207475-00,일반,화성동탄2 A4-1BL 및 A77-2BL 아파트 (전기)공사-디젤발전기,조달청 서울지방조달청,한국토지주택공사 경기지역본부,수의(총액),2019/02/11 15:44(2019/02/13 12:00),,
공사,20190208210-00,일반,구덕고등학교 장애인용 승강기실 증축 전기공사,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/11 15:19(2019/02/15 10:00),,마감
용역,20190206690-00,일반,전주신성초 외 3교 강당수선 및 기타 전기,통신,소방공사 설계용역,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 15:13(2019/02/15 10:00),마감,마감
용역,20190206602-00,일반,전주중산초 외 2교 승강기증축 및 기타 전기,소방공사 설계용역,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 15:12(2019/02/15 10:00),마감,마감
공사,20190208219-00,긴급,상원고 다목적체육관 증축 전기공사,경기도교육청 경기도부천교육지원청,경기도교육청 경기도부천교육지원청,제한경쟁,2019/02/11 15:00(2019/02/18 10:00),,마감
공사,20190207660-00,일반,미관광장8호 지하주차장 내 사무공간 전기공사,경기도 부천시,경기도 부천시,수의(소액),2019/02/11 14:52(2019/02/15 10:00),,마감
용역,20190207352-00,일반,단양중 석면천장교체 및 냉난방개선 전기공사 설계용역 소액수의 견적공고,충청북도교육청 충청북도단양교육지원청,충청북도교육청 충청북도단양교육지원청,수의(총액)소액수의,2019/02/11 14:44(2019/02/15 10:00),,마감
용역,20190208154-00,일반,주례여자중학교 노후전등교체 및 기타 전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 14:40(2019/02/15 10:00),,마감
용역,20190208137-00,일반,엄궁중학교 급식실현대화시설 및 기타 전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 14:38(2019/02/15 10:00),,마감
용역,20190208126-00,일반,화잠초등학교 병설유치원시설 전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 14:34(2019/02/15 10:00),,마감
용역,20190208102-00,일반,감전초등학교 병설유치원시설 및 기타 전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 14:32(2019/02/15 10:00),,마감
공사,20190207975-00,일반,용인초 체육관 냉난방개선 전기공사,경기도용인교육청,경기도용인교육청,수의(소액),2019/02/11 14:28(2019/02/15 10:00),,마감
공사,B3201900291-00,취소,시화MTV 군사시설(OOOO부대) 현대화 전기공사,한국수자원공사,한국수자원공사 시화관리처, ,2019/02/11 14:00(2019/02/18 15:00),,한국수자원공사 이동
공사,B3201900301-00,일반,시화MTV 군사시설(OOOO부대) 현대화 전기공사,한국수자원공사,한국수자원공사 시화관리처, ,2019/02/11 14:00(2019/02/18 16:30),,한국수자원공사 이동
용역,20190207491-00,긴급,2019년 전기안전관리자 직무고시 관련 전기시설 점검 용역 입찰공고(긴급),대한체육회 인천광역시체육회,대한체육회 인천광역시체육회,제한(총액),2019/02/11 13:46(2019/02/15 10:00),,마감
공사,20190207840-00,일반,주산산업고등학교 기숙사수선 전기공사 소액수의 견적 공고,충청남도교육청 충청남도보령교육지원청,충청남도교육청 충청남도보령교육지원청,수의(소액),2019/02/11 13:36(2019/02/15 10:00),,마감
공사,20190206772-00,일반,정부서울청사 본관 로비 LED교체 전기공사,조달청 서울지방조달청,행정안전부 정부청사관리본부 서울청사관리소,지역제한,2019/02/11 13:25(2019/02/19 10:00),마감,마감
공사,20190207805-00,일반,광양중진초 본관동 냉·난방기 교체 전기공사,전라남도교육청 전라남도광양교육지원청,전라남도교육청 전라남도광양교육지원청,수의(소액),2019/02/11 13:22(2019/02/14 10:00),,마감
공사,20190207792-00,일반,도곡배수지 건설공사 전기 및 계측제어 공사,경기도 평택시 상하수도사업소,경기도 평택시 상하수도사업소,지역제한,2019/02/11 13:19(2019/02/19 10:00),,마감
물품,20190125700-00,일반,신녕농협 채소류 출하조절시설 건립 전기공사 수배전반 분전반 제작 설치,조달청,신녕농업협동조합,수의(총액)우선구매(성능인증),2019/02/11 13:08(2019/02/12 15:00),,
공사,20190207756-00,일반,북부지역 송배수관로 연결 전기 및 계측제어 공사,경기도 평택시 상하수도사업소,경기도 평택시 상하수도사업소,수의(소액),2019/02/11 13:08(2019/02/15 10:00),,마감
공사,20190206558-00,일반,남이초등학교 화장실수선 전기공사,충청남도교육청 충청남도금산교육지원청,충청남도교육청 충청남도금산교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/11 13:08(2019/02/14 14:30),,마감
물품,20190125566-00,일반,용암배수펌프장 전기설비 교체공사 폐쇄형배전반 구입,조달청,경상북도 김천시,수의(총액)농공단지,2019/02/11 13:06(2019/02/12 15:00),,
용역,20190207700-00,일반,유성생명과학고 산업과학1동 화장실 수선 및 기타 전기공사 설계용역,대전광역시교육청,대전광역시교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 12:36(2019/02/15 10:00),,마감
물품,A190026010-00,일반,새울1발 전기팀 전원공급기 외 19품목 구매,한국수력원자력주식회사,한국수력원자력(주) 새울원자력본부,일반(총액),2019/02/11 12:00(2019/02/19 12:00),,한국수력원자력주식회사 이동
공사,20190207631-00,일반,안양8동행정복지센터 건립 전기공사,경기도 안양시,경기도 안양시,지역제한,2019/02/11 11:47(2019/02/19 10:00),,마감
공사,20190207606-00,일반,비산2동행정복지센터 건립 전기공사,경기도 안양시,경기도 안양시,제한경쟁,2019/02/11 11:42(2019/02/19 10:00),,마감
물품,U190118010-00,일반,한울 3발전소 전기팀 전동기 외 3품목(S등급/특정),한국수력원자력주식회사,한국수력원자력(주) 한울원자력본부,일반(총액),2019/02/11 11:10(2019/02/19 12:00),,한국수력원자력주식회사 이동
물품,B1201900288-00,취소,넙도급수구역 비상발전기 부대설비 제조구매 설치,한국수자원공사,한국수자원공사 완도수도관리단,수의(총액)소액수의,2019/02/11 11:00(2019/02/18 17:00),,한국수자원공사 이동
용역,20190207407-00,일반,성동 도시발전기본계획 수립 용역,서울특별시 성동구,서울특별시 성동구,제한(총액)협상에의한계약,2019/02/11 10:47(-),,
공사,20190207238-00,일반,가상증강현실체험장 조성사업 전기공사,충청북도 증평군 휴양공원사업소,충청북도 증평군 휴양공원사업소,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/11 10:34(2019/02/14 12:00),,마감
공사,E061900068-00,일반,2019년도 삼천포발전본부 전기시설물 유지보수공사,한국남동발전(주),총무노무부,제한경쟁,2019/02/11 09:43(2019/02/19 13:00),,한국남동발전(주) 이동
물품,20190206821-00,일반,대구연경 A-2BL 전기공사 1공구 수배전반 제작 및 설치,조달청 부산지방조달청,한국토지주택공사,수의(총액)우선구매(성능인증),2019/02/11 09:43(2019/02/15 12:00),,
용역,20190200771-01,취소,인지중학교 등 5교 노후전등교체 및 기타 전기,정보통신,소방공사 설계용역,부산광역시교육청 부산광역시해운대교육지원청,부산광역시교육청 부산광역시해운대교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 09:34(2019/02/13 10:00),,
공사,20190207156-00,일반,2019년 도로기전기설물 유지보수공사(연간단가),서울특별시,서울특별시 도로사업소 북부도로사업소,지역제한,2019/02/11 09:29(2019/02/19 12:00),,마감
물품,1900307-00,일반,고양향동 A-4BL 아파트 전기공사 지하주차장 지능형LED 조명기구 납품,한국토지주택공사,한국토지주택공사,제한(총액),2019/02/11 09:20(2019/02/20 14:00),,한국토지주택공사 이동
공사,2019LFC00032019-01132-01,일반,임시숙영시설 내부 전기공사(1-3차),육군훈련소,육군훈련소,수의계약(기타),2019/02/11 09:00(2019/02/15 10:00),,육군훈련소 이동
물품,2019LCF011102565-01,일반,계전기,전자자기식등 8항목 구매(궤도),국방부 육군군수사령부,육군군수사령부,제한(총액),2019/02/11 09:00(2019/02/20 10:00),,국방부 육군군수사령부 이동
공사,20190207094-00,일반,제주하수처리장 전기실 증축공사,제주특별자치도,제주특별자치도,제한경쟁,2019/02/11 08:53(2019/02/19 14:00),,마감
공사,20190207080-00,일반,반남 흥덕 면단위 하수처리장(증설)정비사업 전기공사,전라남도 나주시,전라남도 나주시,수의(소액),2019/02/11 08:32(2019/02/15 10:00),,마감
용역,20190205424-00,일반,대전중원초 장애인편의시설 증축 및 교사동 수선 전기설계용역,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 08:23(2019/02/19 10:00),,마감
용역,20190205451-00,일반,회덕초 외 2교 내진보강 및 기타 전기설계용역,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 08:18(2019/02/19 10:00),,마감
용역,20190205526-00,일반,대전삼성초 외 3교 내진보강 및 기타 전기설계용역,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/11 08:12(2019/02/19 10:00),,마감
물품,20190207072-00,일반,청과물동 지하 저온저장고 설치 전기공사 관급자재(배전반) 제작설치,대전광역시,대전광역시,제한(총액),2019/02/11 08:08(2019/02/19 10:00),,마감
물품,G011900676-00,일반,충전기,380V,125V,100A,축전지용,3상,연속 1EA,한국전력공사,광주전남본부,제한(총액),2019/02/11 00:00(2019/02/19 12:00),,한국전력공사 이동
물품,H081900007-00,일반,울산화력본부 #2,3CC 발전기 고정자 재권선용 자재 구매,한국동서발전주식회사,조달처,제한(총액),2019/02/11 00:00(2019/03/20 14:00),,한국동서발전주식회사 이동
물품,G051900121-00,일반,계획예방정비공사 전기분야 정비자재 구매,한국중부발전주식회사,사업소 세종발전본부,제한(총액),2019/02/11 00:00(2019/02/18 14:00),,한국중부발전주식회사 이동
물품,G041900075-00,일반,2019년 4cc 계획예방정비공사 전기분야 일반자재 구매,한국남부발전주식회사,부산발전본부,제한(총액),2019/02/11 00:00(2019/02/21 14:00),,한국남부발전주식회사 이동
공사,20190206957-00,일반,낙동강 파크골프장(동락지구) 조성 전기공사,경상북도 구미시,경상북도 구미시,수의(소액),2019/02/10 14:16(2019/02/14 14:00),,마감
공사,20190206945-01,취소,낙동강 파크골프장(동락지구) 조성 전기공사,경상북도 구미시,경상북도 구미시,수의(소액),2019/02/10 14:06(2019/02/14 14:00),,
공사,20190206951-00,일반,낙동강 파크골프장(괴평, 선산지구)조성 전기공사,경상북도 구미시,경상북도 구미시,수의(소액),2019/02/10 14:01(2019/02/14 14:00),,마감
공사,20190206913-00,일반,고흥군 구 제2청사 시설물 개보수 전기공사,전라남도 고흥군,전라남도 고흥군,제한경쟁,2019/02/10 10:57(2019/02/18 15:00),,마감
용역,20190206738-01,변경,백석중학교 화장실 개선 전기(소방포함)공사 설계용역 수의계약 안내공고,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/09 07:46(2019/02/14 10:00),,마감
용역,20190206737-01,변경,작전중학교 화장실 개선 전기(소방포함)공사 설계용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/09 07:44(2019/02/14 10:00),,마감
용역,20190206736-01,변경,간재울중학교 화장실 개선 전기(소방포함)공사 설계용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/09 07:41(2019/02/14 10:00),,마감
용역,20190206735-01,변경,인천금곡초등학교 다목적강당 및 급식소 증축 전기(통신,소방포함)공사 설계용역,인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/09 07:39(2019/02/14 10:00),,마감
용역,20190206689-00,일반,하동중앙중학교 외 2교(횡천초, 양보초) 교육환경개선 전기(통신, 소방)공사 설계용역,경상남도교육청 경상남도하동교육지원청,경상남도교육청 경상남도하동교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 21:06(2019/02/15 10:00),,마감
기타,산단견적2018-11-00,연기,창의융합 프로젝트 공용실습실 구축 전기 공사,동양미래대학교 산학협력단,동양미래대학교 산학협력단, ,2019/02/08 19:33(2019/02/15 14:00),,
공사,20190204414-00,일반,제천 인라인경기장 조성사업 전기공사,충청북도 제천시,충청북도 제천시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/08 18:30(2019/02/14 10:00),,마감
용역,20190206513-00,일반,전기요금에 대한 국민인식 조사,(사)대한전기협회                                  ,(사)대한전기협회                                  ,일반경쟁,2019/02/08 18:06(-),,
공사,20190206506-00,일반,북부권 건강생활지원센터 신축공사(전기),충청남도 당진시,충청남도 당진시,지역제한,2019/02/08 18:05(2019/02/18 10:00),,마감
물품,20190206036-00,긴급,제2충북학사 전기공사 관급자재(조명제어설비) 구매,조달청 충북지방조달청,충북개발공사,제한(총액),2019/02/08 17:58(2019/02/19 10:00),,마감
용역,20190206340-00,재입찰,의귀리 국민임대주택 전기,소방전기,통신 설계용역,제주특별자치도개발공사,제주특별자치도개발공사,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 17:40(2019/02/15 15:00),,마감
공사,E111900018-00,일반,주택용 가전기기 보급현황 조사,한국전력거래소,재무경영팀,제한경쟁,2019/02/08 17:25(2019/03/21 14:00),,한국전력거래소 이동
용역,20190205125-00,긴급,2019년 여천,삼산본동 배수펌프장 전기안전관리(상주) 대행용역,울산광역시 남구,울산광역시 남구,제한경쟁,2019/02/08 17:15(2019/02/14 10:00),,마감
공사,20190206267-00,일반,가산디지털단지 외 1역 화장실 시설개량 전기공사,서울교통공사,서울교통공사,지역제한,2019/02/08 17:12(2019/02/18 10:00),,마감
용역,20190206256-00,일반,중문고 태양광발전설비 설치 및 전기공사 설계용역 수의계약 견적 제출 안내 공고,제주특별자치도교육청,제주특별자치도교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 17:09(2019/02/14 10:00),,마감
공사,20190206209-00,일반,디지털미디어시티 외 1역 화장실 시설개량 전기공사,서울교통공사,서울교통공사,지역제한,2019/02/08 17:00(2019/02/18 10:00),,마감
공사,20190206070-00,일반,김천예술고등학교 급식소 및 생활관 증축 전기 공사,경상북도교육청 김천예술고등학교,경상북도교육청 김천예술고등학교,제한경쟁,2019/02/08 16:42(2019/02/14 10:00),,마감
용역,20190206136-00,일반,광주제일고 외 1기관(광주유아교육진흥원) 조명시설개선 전기공사 설계용역,광주광역시교육청,광주광역시교육청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 16:37(2019/02/14 10:00),,마감
공사,20190206079-00,일반,연화초등학교 조명개선 전기공사,충청남도교육청 충청남도아산교육지원청,충청남도교육청 충청남도아산교육지원청,제한경쟁,2019/02/08 16:22(2019/02/18 12:00),,마감
물품,20190205965-01,변경,전기유압제어실습장비 외 2종 구매,서울특별시동부기술교육원,서울시기술교육원수탁법인경복대학교운영동부기술교육원,제한(총액),2019/02/08 16:15(-),,
공사,20190203784-00,일반,첨단운전자 지원시스템(ADAS)플랫폼 구축 전기공사,(재)지능형자동차부품진흥원,(재)지능형자동차부품진흥원,지역제한,2019/02/08 16:13(2019/02/15 10:00),,마감
공사,20190205145-00,일반,북부장애인복지관 건립 전기공사,남양주도시공사,남양주도시공사,일반경쟁,2019/02/08 15:49(2019/02/18 10:00),마감,마감
공사,20190205979-00,일반,수역마을 창조적마을 만들기사업(전기),전라남도 진도군,전라남도 진도군,수의(소액),2019/02/08 15:48(2019/02/14 14:00),,마감
공사,20190205910-00,일반,단구중학교 감성화 및 폭력예방 디자인 전기공사,강원도교육청 강원도원주교육지원청,강원도교육청 강원도원주교육지원청,수의(소액),2019/02/08 15:41(2019/02/14 10:00),,마감
공사,20190205598-00,일반,목포삼학초등학교외 2교(제일여고,중앙여중)냉난방 및 전기보수 공사,전라남도교육청 전라남도목포교육지원청,전라남도교육청 전라남도목포교육지원청,수의(소액),2019/02/08 15:41(2019/02/14 10:00),,마감
용역,20190205919-00,일반,위례신도시 A1-6BL 공동주택 신축공사 공사감리(전기)용역,서울특별시 송파구,서울특별시 송파구,일반경쟁,2019/02/08 15:36(2019/02/21 18:00),,마감
공사,20190205767-01,변경,재해위험저수지정비사업 전기공사,한국농어촌공사 전북지역본부 전주.완주.임실지사,한국농어촌공사 전북지역본부 전주.완주.임실지사,지역제한,2019/02/08 15:29(2019/02/18 10:00),,마감
용역,20190201213-01,취소,위례신도시 A1-6BL 공동주택 신축공사 공사감리(전기)용역,서울특별시 송파구,서울특별시 송파구,일반경쟁,2019/02/08 15:26(2019/02/15 14:00),,
용역,20190202759-00,일반,서귀포여중 교실과 급식실 증축 전기,통신,소방공사 설계용역 수의계약 견적제출 안내 재공고,제주특별자치도교육청 서귀포시교육지원청,제주특별자치도교육청 서귀포시교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 15:22(2019/02/14 10:00),마감,마감
공사,20190205696-00,일반,이촌마을 도로확ㆍ포장공사 전기공사,대전광역시 대덕구,대전광역시 대덕구,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/08 15:18(2019/02/14 14:00),,마감
용역,20190205798-00,일반,효림초 등 4교 급식실증축 및 기타 전기, 정보통신, 소방공사 설계용역,부산광역시교육청 부산광역시서부교육지원청,부산광역시교육청 부산광역시서부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 15:13(2019/02/14 10:00),마감,마감
용역,20190204729-00,일반,백록초 LED조명시설 교체 전기공사 설계용역 수의계약 견적제출 안내 공고,제주특별자치도교육청 제주시교육지원청,제주특별자치도교육청 제주시교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 14:24(2019/02/14 10:00),,마감
공사,20190205577-00,일반,금산면 농촌중심지활성화사업 전기공사,한국농어촌공사 전북지역본부 동진지사,한국농어촌공사 전북지역본부 동진지사,제한경쟁,2019/02/08 14:20(2019/02/18 10:00),,마감
공사,20190204034-00,일반,장흥고 기숙사 보수 전기공사,전라남도교육청 전라남도장흥교육지원청,전라남도교육청 전라남도장흥교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/08 14:06(2019/02/14 10:00),,마감
공사,20190205462-00,일반,칠곡군건강가족복지센터 건립 증축공사(전기) 전자입찰 공고,경상북도 칠곡군,경상북도 칠곡군,지역제한,2019/02/08 13:59(2019/02/18 10:00),,마감
용역,20190205474-00,일반,성안중 화장실개선 전기공사 설계용역,울산광역시교육청 울산광역시강북교육지원청,울산광역시교육청 울산광역시강북교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 13:58(2019/02/14 10:00),,마감
용역,20190205461-00,일반,서부산공업고등학교 급식실증축 및 기타 전기 소방공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 13:56(2019/02/14 10:00),마감,마감
용역,20190205448-00,일반,모덕초등학교 병설유치원시설 전기 소방공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 13:53(2019/02/14 10:00),마감,마감
공사,20190205413-00,일반,김제종정초 외 1교(심창초) 후관동 교실증축 및 기타 전기공사,전라북도교육청 전라북도김제교육지원청,전라북도교육청 전라북도김제교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/08 13:47(2019/02/15 10:00),,마감
용역,20190205426-00,일반,덕천여자중학교 노후전등교체 및 기타  전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 13:47(2019/02/14 10:00),,마감
공사,2019020718001-00,일반,평창관리소 계량설비 설치 전기공사,한국가스공사,한국가스공사,제한경쟁,2019/02/08 13:46(2019/02/18 10:00),,한국가스공사 이동
용역,20190205414-00,일반,만덕중학교 노후전등교체 및 기타 전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 13:46(2019/02/14 10:00),,마감
용역,20190205407-00,일반,동궁초등학교 화장실개량 전기공사 설계용역,부산광역시교육청 부산광역시북부교육지원청,부산광역시교육청 부산광역시북부교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/02/08 13:44(2019/02/14 10:00),,마감
공사,20190205398-00,일반,다운중 오수펌프 교체 및 개선 전기공사,울산광역시교육청 울산광역시강북교육지원청,울산광역시교육청 울산광역시강북교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/02/08 13:43(2019/02/14 10:00),,마감
공사,E011900823-00,일반,서수원변전소 23kV 현대화 전기공사,한국전력공사,재무자재부,제한경쟁,2019/02/08 13:24(2019/02/18 14:00),,한국전력공사 이동
공사,20190205171-00,일반,유기농엑스포광장조성사업(전기),충청북도 괴산군,충청북도 괴산군,제한경쟁,2019/02/08 13:04(2019/02/13 10:00),,마감
